epoch,loss,timestamp
1,7.794440196110652,2026-06-25T14:30:45.002523
2,7.7939437719491815,2026-06-25T14:30:45.268509
3,7.790920734405518,2026-06-25T14:30:45.531082
4,7.791358177478497,2026-06-25T14:30:45.794765
5,7.782296144045317,2026-06-25T14:30:46.056828
6,7.7876081833472615,2026-06-25T14:30:46.318365
7,7.779895195594201,2026-06-25T14:30:46.581733
8,7.7761472555307245,2026-06-25T14:30:46.846585
9,7.765680056351882,2026-06-25T14:30:47.110710
10,7.764543093167818,2026-06-25T14:30:47.373665
11,7.755867297832783,2026-06-25T14:30:47.667544
12,7.74800733419565,2026-06-25T14:30:47.931689
13,7.736453643211951,2026-06-25T14:30:48.194373
14,7.708760114816519,2026-06-25T14:30:48.459043
15,7.699181116544283,2026-06-25T14:30:48.724101
16,7.68504942380465,2026-06-25T14:30:48.988202
17,7.6782833979679985,2026-06-25T14:30:49.251433
18,7.666536808013916,2026-06-25T14:30:49.513645
19,7.657195898202749,2026-06-25T14:30:49.775085
20,7.656104748065655,2026-06-25T14:30:50.035570
21,7.653800707596999,2026-06-25T14:30:50.319378
22,7.648288139930139,2026-06-25T14:30:50.580464
23,7.649090143350454,2026-06-25T14:30:50.843340
24,7.6436165662912225,2026-06-25T14:30:51.107849
25,7.646541265340952,2026-06-25T14:30:51.370466
26,7.648763766655555,2026-06-25T14:30:51.632736
27,7.645535102257361,2026-06-25T14:30:51.895622
28,7.6427384523245,2026-06-25T14:30:52.157480
29,7.645704049330491,2026-06-25T14:30:52.421630
30,7.644613816187932,2026-06-25T14:30:52.686351
31,7.64677854684683,2026-06-25T14:30:52.975881
32,7.644655301020696,2026-06-25T14:30:53.239069
33,7.6457000879141,2026-06-25T14:30:53.501659
34,7.64234839952909,2026-06-25T14:30:53.764731
35,7.6440731928898735,2026-06-25T14:30:54.027175
36,7.644253033858079,2026-06-25T14:30:54.290551
37,7.6443807161771336,2026-06-25T14:30:54.552027
38,7.645066701448881,2026-06-25T14:30:54.814322
39,7.642944519336407,2026-06-25T14:30:55.074299
40,7.641977126781757,2026-06-25T14:30:55.343377
41,7.646800664755014,2026-06-25T14:30:55.634469
42,7.64284009199876,2026-06-25T14:30:55.898328
43,7.643658821399395,2026-06-25T14:30:56.160123
44,7.644491048959585,2026-06-25T14:30:56.424187
45,7.645193393413837,2026-06-25T14:30:56.688463
46,7.642376642960769,2026-06-25T14:30:56.952653
47,7.64278089083158,2026-06-25T14:30:57.216658
48,7.643198086665227,2026-06-25T14:30:57.479167
49,7.643971699934739,2026-06-25T14:30:57.743956
50,7.642549294691819,2026-06-25T14:30:58.007921
51,7.645716923933763,2026-06-25T14:30:58.294213
52,7.641094831319956,2026-06-25T14:30:58.556568
53,7.64192273066594,2026-06-25T14:30:58.819530
54,7.6401034868680515,2026-06-25T14:30:59.083043
55,7.645216831794152,2026-06-25T14:30:59.345443
56,7.639152123377873,2026-06-25T14:30:59.607737
57,7.644820103278527,2026-06-25T14:30:59.871050
58,7.642299211942232,2026-06-25T14:31:00.132400
59,7.6397732221163235,2026-06-25T14:31:00.394267
60,7.641807446113,2026-06-25T14:31:00.658833
61,7.643751804645245,2026-06-25T14:31:00.955147
62,7.6435546875,2026-06-25T14:31:01.219099
63,7.63900716488178,2026-06-25T14:31:01.482810
64,7.6405181884765625,2026-06-25T14:31:01.746110
65,7.63968929877648,2026-06-25T14:31:02.008429
66,7.639311973865215,2026-06-25T14:31:02.270669
67,7.643486426426814,2026-06-25T14:31:02.532014
68,7.639799374800462,2026-06-25T14:31:02.795775
69,7.641490312723013,2026-06-25T14:31:03.057692
70,7.638396960038405,2026-06-25T14:31:03.320542
71,7.640637654524583,2026-06-25T14:31:03.607258
72,7.642190896547758,2026-06-25T14:31:03.870317
73,7.639070620903602,2026-06-25T14:31:04.133518
74,7.640652106358455,2026-06-25T14:31:04.400299
75,7.64063651745136,2026-06-25T14:31:04.665877
76,7.640961316915659,2026-06-25T14:31:04.930376
77,7.640148639678955,2026-06-25T14:31:05.197821
78,7.638426267183744,2026-06-25T14:31:05.468075
79,7.639361968407264,2026-06-25T14:31:05.731906
80,7.639432907104492,2026-06-25T14:31:06.001585
81,7.64006442290086,2026-06-25T14:31:06.290097
82,7.6424970626831055,2026-06-25T14:31:06.553795
83,7.640539792867807,2026-06-25T14:31:06.817733
84,7.639523066007174,2026-06-25T14:31:07.079508
85,7.638477948995737,2026-06-25T14:31:07.341730
86,7.639826004321758,2026-06-25T14:31:07.604396
87,7.64314787204449,2026-06-25T14:31:07.866879
88,7.6411422582773065,2026-06-25T14:31:08.129040
89,7.640564515040471,2026-06-25T14:31:08.392656
90,7.642466655144324,2026-06-25T14:31:08.656686
91,7.640846252441406,2026-06-25T14:31:08.943809
92,7.639785656562219,2026-06-25T14:31:09.208613
93,7.640506304227388,2026-06-25T14:31:09.470990
94,7.642783531775842,2026-06-25T14:31:09.733435
95,7.640514373779297,2026-06-25T14:31:09.995305
96,7.642661681542029,2026-06-25T14:31:10.257938
97,7.6394871931809645,2026-06-25T14:31:10.519805
98,7.63905825981727,2026-06-25T14:31:10.797335
99,7.639082248394306,2026-06-25T14:31:11.068143
100,7.6401855028592625,2026-06-25T14:31:11.339647
101,7.641782980698806,2026-06-25T14:31:11.638578
102,7.640940299400916,2026-06-25T14:31:11.902643
103,7.639811038970947,2026-06-25T14:31:12.166047
104,7.6410675048828125,2026-06-25T14:31:12.431461
105,7.639687574826754,2026-06-25T14:31:12.697957
106,7.6375436049241285,2026-06-25T14:31:12.963143
107,7.6424162571246805,2026-06-25T14:31:13.227580
108,7.642301632807805,2026-06-25T14:31:13.491623
109,7.6389839465801535,2026-06-25T14:31:13.756718
110,7.6399766481839695,2026-06-25T14:31:14.021186
111,7.640777697929969,2026-06-25T14:31:14.310597
112,7.64048957824707,2026-06-25T14:31:14.573775
113,7.640850250537579,2026-06-25T14:31:14.842411
114,7.639572767110971,2026-06-25T14:31:15.135945
115,7.63730525970459,2026-06-25T14:31:15.412095
116,7.642802862020639,2026-06-25T14:31:15.686542
117,7.6411093565133905,2026-06-25T14:31:15.964046
118,7.639522662529578,2026-06-25T14:31:16.238587
119,7.640443104964036,2026-06-25T14:31:16.505339
120,7.639785326444185,2026-06-25T14:31:16.770838
121,7.639418235191932,2026-06-25T14:31:17.062079
122,7.641944188338059,2026-06-25T14:31:17.325744
123,7.639586888826811,2026-06-25T14:31:17.592130
124,7.638804582449106,2026-06-25T14:31:17.857002
125,7.640778578244722,2026-06-25T14:31:18.121947
126,7.638538910792424,2026-06-25T14:31:18.385240
127,7.6387750919048605,2026-06-25T14:31:18.649194
128,7.641668979938213,2026-06-25T14:31:18.913640
129,7.638659147115854,2026-06-25T14:31:19.176503
130,7.640717359689566,2026-06-25T14:31:19.440683
131,7.640428836529072,2026-06-25T14:31:19.740127
132,7.6415013166574335,2026-06-25T14:31:20.007125
133,7.638922874744122,2026-06-25T14:31:20.272749
134,7.63770316197322,2026-06-25T14:31:20.537975
135,7.638699274796706,2026-06-25T14:31:20.804058
136,7.6396116476792555,2026-06-25T14:31:21.067301
137,7.636931676131028,2026-06-25T14:31:21.330643
138,7.640200064732478,2026-06-25T14:31:21.593802
139,7.640817605532133,2026-06-25T14:31:21.876963
140,7.637569097372202,2026-06-25T14:31:22.143168
141,7.639516353607178,2026-06-25T14:31:22.431951
142,7.6399916135347805,2026-06-25T14:31:22.696423
143,7.639173581049993,2026-06-25T14:31:22.961218
144,7.638776962573711,2026-06-25T14:31:23.225933
145,7.64067477446336,2026-06-25T14:31:23.490392
146,7.636258382063645,2026-06-25T14:31:23.759548
147,7.639137047987718,2026-06-25T14:31:24.027840
148,7.6359256230867825,2026-06-25T14:31:24.296675
149,7.639576545128455,2026-06-25T14:31:24.563191
150,7.635119841648982,2026-06-25T14:31:24.830533
151,7.6350836387047405,2026-06-25T14:31:25.122226
152,7.637612599592942,2026-06-25T14:31:25.386675
153,7.637534434978779,2026-06-25T14:31:25.649992
154,7.6380719771751995,2026-06-25T14:31:25.915402
155,7.6411207272456245,2026-06-25T14:31:26.178989
156,7.637940553518442,2026-06-25T14:31:26.441766
157,7.636881975027231,2026-06-25T14:31:26.705114
158,7.63981661429772,2026-06-25T14:31:26.969402
159,7.639449266286997,2026-06-25T14:31:27.235000
160,7.640497207641602,2026-06-25T14:31:27.501971
161,7.637123621427095,2026-06-25T14:31:27.793275
162,7.639648474179781,2026-06-25T14:31:28.060560
163,7.636944807492769,2026-06-25T14:31:28.326553
164,7.640374293694129,2026-06-25T14:31:28.592357
165,7.638874567472017,2026-06-25T14:31:28.858091
166,7.638495188492995,2026-06-25T14:31:29.121807
167,7.636712917914758,2026-06-25T14:31:29.385748
168,7.638377262995793,2026-06-25T14:31:29.650025
169,7.640299980457012,2026-06-25T14:31:29.915133
170,7.639258494743934,2026-06-25T14:31:30.179485
171,7.638480406541091,2026-06-25T14:31:30.467696
172,7.64023204950186,2026-06-25T14:31:30.734243
173,7.6390659258915825,2026-06-25T14:31:30.999469
174,7.638224491706262,2026-06-25T14:31:31.263921
175,7.638023449824407,2026-06-25T14:31:31.527787
176,7.637215871077317,2026-06-25T14:31:31.793277
177,7.638510227203369,2026-06-25T14:31:32.060161
178,7.637510299682617,2026-06-25T14:31:32.326818
179,7.637399233304537,2026-06-25T14:31:32.595258
180,7.6382294067969685,2026-06-25T14:31:32.866365
181,7.638337538792537,2026-06-25T14:31:33.154524
182,7.640703017895039,2026-06-25T14:31:33.418473
183,7.635851639967698,2026-06-25T14:31:33.683454
184,7.638479966383714,2026-06-25T14:31:33.949155
185,7.637306800255408,2026-06-25T14:31:34.213941
186,7.638306837815505,2026-06-25T14:31:34.474285
187,7.6380696296691895,2026-06-25T14:31:34.734489
188,7.638906552241399,2026-06-25T14:31:34.995944
189,7.638065814971924,2026-06-25T14:31:35.257198
190,7.637886414161096,2026-06-25T14:31:35.522964
191,7.636744976043701,2026-06-25T14:31:35.813585
192,7.636834071232722,2026-06-25T14:31:36.080727
193,7.636586409348708,2026-06-25T14:31:36.347040
194,7.6358645879305325,2026-06-25T14:31:36.613340
195,7.636816685016338,2026-06-25T14:31:36.879501
196,7.637662924253023,2026-06-25T14:31:37.151178
197,7.63556014574491,2026-06-25T14:31:37.425868
198,7.638664502363938,2026-06-25T14:31:37.690973
199,7.642409031207745,2026-06-25T14:31:37.956903
200,7.637876804058369,2026-06-25T14:31:38.222269
